Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1054;Магнит киска Энни;Фарфоровый магнит на холодильник с изображением киски;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Дева;Котики;;;Кошечка Энни;"1054_1.jpg;1054_2.jpg;1054_3.jpg";Henry Cats and Friends;;;;;CMA-CA009;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 5.1 x L 3.5cm
#1056;Магнит кошка Белла;Фарфоровый магнит на холодильник с изображением киски;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1056_1.jpg;1056_2.jpg;1056_3.jpg";Henry Cats and Friends;;;;;CMA-CA011;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.2 x L 4.3cm
#1057;Магнит кот Оскар;Фарфоровый магнит на холодильник с изображением киски;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Стрелец;Котики;;;Котёнок Оскар;"1057_1.jpg;1057_2.jpg;1057_3.jpg";Henry Cats and Friends;;;;;CMA-CA012;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.7 x L 2.8cm
#1058;Магнит киска Молли;Фарфоровый магнит на холодильник с изображением кошки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;0;1;шт.;Девочки;Козерог;Котики;;;Киска Молли;"1058_1.jpg;1058_2.jpg;1058_3.jpg";Henry Cats and Friends;;;;;CMA-CA014;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.3 x L 4cm
#1062;Магнит кошка Шерри;Фарфоровый магнит на холодильник с изображением кошки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Рак;Котики;;;Кошка Шерри;"1062_1.jpg;1062_2.jpg;1062_3.jpg";Henry Cats and Friends;;;;;CMA-CA021;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.6 x L 3.5cm
#1068;Магнит щенок Сэм;Фарфоровый магнит на холодильник с щенком;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Лев;Собачки;;;Пёсик Сэм;"1068_1.jpg;1068_2.jpg;1068_3.jpg";Henry Cats and Friends;;;;;CMA-DO004;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.7 x L 2.8cm
#1069;Магнит щенок Бир;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Рак;Собачки;;;Щенок Бир;"1069_1.jpg;1069_2.jpg;1069_3.jpg";Henry Cats and Friends;;;;;CMA-DO005;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.4 x L 3.2cm
#1070;Магнит щенок Денни;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Собачки;;;Щенок Денни;"1070_1.jpg;1070_2.jpg;1070_3.jpg";Henry Cats and Friends;;;;;CMA-DO006;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.8 x L 5.2cm
#1071;Магнит щенок Зак;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Скорпион;Собачки;;;Щенок Зак;"1071_1.jpg;1071_2.jpg;1071_3.jpg";Henry Cats and Friends;;;;;CMA-DO010;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 5.4 x L 3.2cm
#1072;Магнит собачка Ласа;Фарфоровый магнит на холодильник с собачкой;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Весы;Собачки;;;Собачка Ласа;"1072_1.jpg;1072_2.jpg;1072_3.jpg";Henry Cats and Friends;;;;;CMA-DO013;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W4.7 x H3.4cm
